Company,Sector,Short description
Nestlé,Consumer goods,"Global food and beverage company with businesses in coffee, confectionery, nutrition and pet care."
Unilever,Consumer goods,"Consumer products group operating beauty, personal care, home care and food brands."
L'Oréal,Consumer goods,"Beauty company selling skincare, cosmetics, haircare and fragrances through multiple brand portfolios."
Nike,Apparel and footwear,"Sportswear company designing and marketing athletic footwear, clothing and equipment."
Adidas,Apparel and footwear,"Sportswear company producing athletic shoes, clothing and accessories."
McDonald's,Restaurants,Global quick-service restaurant chain operating through company-owned and franchised locations.
Starbucks,Restaurants,"Coffeehouse chain selling beverages, food and packaged coffee through stores worldwide."
Walmart,Retail,"Large retailer operating supermarkets, hypermarkets, warehouse clubs and e-commerce platforms."
Costco,Retail,"Membership warehouse retailer selling groceries, consumer goods, fuel and services."
Home Depot,Retail,"Home improvement retailer serving do-it-yourself customers, tradespeople and professional contractors."
Inditex,Apparel retail,"Spanish fashion group whose brands include Zara, Massimo Dutti, Pull&Bear and Bershka."
Mitsui,Trading and industrials,"Japanese trading house investing in and operating businesses across resources, infrastructure, mobility and chemicals."
Siemens,Industrial technology,"Industrial technology group supplying automation, electrification, mobility and building systems."
General Electric Aerospace,Aerospace and defence,Aircraft engine and aerospace systems company serving commercial and defence aviation markets.
Honeywell,Industrial technology,"Industrial technology company providing aerospace, building, safety and automation solutions."
Caterpillar,Industrial equipment,"Manufacturer of construction, mining and energy equipment and related services."
Deere & Company,Industrial equipment,"Manufacturer of agricultural, construction and forestry machinery under the John Deere brand."
3M,Industrial and consumer products,"Diversified manufacturer of materials, healthcare products, safety equipment and industrial solutions."
ABB,Industrial technology,"Engineering group specialising in electrification, automation, motion and industrial robotics."
Schneider Electric,Energy management,Provider of energy management and industrial automation products and software.
Airbus,Aerospace,"Aircraft manufacturer producing commercial airliners, helicopters, defence systems and space equipment."
Boeing,Aerospace and defence,"Aerospace company producing commercial aircraft, defence systems and space technology."
RTX,Aerospace and defence,"Defence and aerospace group operating Collins Aerospace, Pratt & Whitney and Raytheon businesses."
Toyota,Automotive,"Japanese vehicle manufacturer producing cars, trucks, hybrids and related mobility services."
Volkswagen Group,Automotive,"Automotive group owning brands including Volkswagen, Audi, Porsche, Skoda and Lamborghini."
Mercedes-Benz Group,Automotive,"Premium vehicle manufacturer producing passenger cars, vans and mobility services."
BMW Group,Automotive,"Manufacturer of premium cars and motorcycles under BMW, Mini and Rolls-Royce brands."
Tesla,Automotive and energy,Electric vehicle and energy storage company with a direct-to-consumer sales model.
BYD,Automotive and batteries,"Chinese manufacturer of electric vehicles, batteries, buses and related technologies."
General Motors,Automotive,"US vehicle manufacturer producing cars, trucks and electric vehicles through several brands."
Ford Motor,Automotive,"Vehicle manufacturer producing cars, commercial vehicles, trucks and electric models."
Shell,Energy,"Integrated energy company active in oil, gas, liquefied natural gas, chemicals and low-carbon energy."
BP,Energy,"Integrated energy company operating in oil, gas, refining, trading and lower-carbon businesses."
Exxon Mobil,Energy,"Large energy company engaged in oil and gas exploration, refining, chemicals and fuels marketing."
Chevron,Energy,"Integrated energy company producing and marketing oil, natural gas, fuels and chemicals."
TotalEnergies,Energy,"Multinational energy company spanning oil, gas, LNG, renewables, electricity and fuels."
NextEra Energy,Utilities and renewables,US utility and renewable energy company with a large wind and solar portfolio.
Iberdrola,Utilities and renewables,Spanish utility focused on electricity networks and renewable generation.
Enel,Utilities and renewables,"Italian energy group operating electricity networks, generation and renewable energy businesses."
Maersk,Shipping and logistics,"Integrated logistics company operating container shipping, ports, freight and supply chain services."
FedEx,Logistics,"Global delivery and logistics company providing express, ground, freight and supply chain services."
United Parcel Service,Logistics,Package delivery and logistics company serving consumers and businesses worldwide.
Delta Air Lines,Airlines,US airline operating domestic and international passenger and cargo networks.
Ryanair,Airlines,European low-cost airline group operating short-haul routes across Europe and nearby markets.
Walt Disney,Media and entertainment,"Entertainment group spanning theme parks, film studios, television and streaming services."
Datadog,Technology,"Cloud monitoring and security platform for applications, infrastructure and logs."
Wise,Financial technology,"Financial technology company offering international payments, transfers and multi-currency accounts."
Monzo,Financial technology,"Digital bank offering current accounts, savings, payments and personal finance tools."
Klarna,Financial technology,"Payments company offering online checkout, instalment payments and consumer finance products."
Canva,Technology,"Online design and visual communication platform for individuals, teams and organisations."
Anthropic,Artificial intelligence,Artificial intelligence company developing foundation models and AI assistants.
Mistral AI,Artificial intelligence,AI company developing open and commercial large language models.
Darktrace,Cybersecurity,Cybersecurity company using artificial intelligence to detect and respond to cyber threats.
Rightmove,Online property,UK property portal listing homes and commercial properties for sale and rent.
Ocado,Online grocery and technology,Online grocery retailer and technology provider for automated fulfilment and e-commerce.
Intel Corporation,Semiconductors,Semiconductor company producing processors and other chips for computers and data centres.
Sony Corporation,Technology and entertainment,"Japanese group spanning gaming, electronics, music, film and financial services."
Uber Technologies,Transport and technology,"Digital platform connecting consumers with ride-hailing, delivery and freight services."
